Location,"Potential DC? 1 if yes, 0 if no",Fixed team?,x,y,N (under 15 - 46%),S (72% vacc rate),E (made up),I,R,deaths,mapX,mapY,,,
Fungurume 1,1,1,7.114285714,105.6857143,9200,2576,0,0,6624,0,87,35,,,
Fungurume 2,1,1,7.885714286,102.1714286,9200,2576,0,0,6624,0,87,35,,,
Guba,0,1,17.82857143,100.0285714,920,258,0,0,662,0,243,87,,,
Kakanda,0,0,16.54285714,88.54285714,9200,2576,0,0,6624,0,225,227,,,
Mulungwishi,1,1,39.42857143,86.82857143,4600,1288,0,0,3312,0,541,265,,,
Kambove,1,1,36.6,75.85714286,17020,4766,0,0,12254,0,483,415,,,
Chinkolobwe,0,0,33.68571429,62.14285714,184,52,0,0,132,0,469,611,,,
Likasi 1,1,1,48.6,64.71428571,55200,15456,10,5,39729,0,703,579,,,
Likasi 2,1,1,51.6,65.74285714,82800,23184,0,0,59616,0,703,579,,,
Likasi 3,1,1,53.82857143,62.82857143,69000,19320,0,0,49680,0,703,579,,,
Kapolowe,1,1,72.68571429,69.17142857,6440,1803,0,0,4637,0,1007,515,,,
Mwandingusha,0,1,106.4571429,90,1840,515,0,0,1325,0,1413,231,,,
Galu,0,0,33.6,26.4,276,77,0,0,199,0,433,1081,,,
Goami,0,0,53.74285714,27.85714286,120,34,0,0,86,0,715,1065,,,
Lupoto,0,0,75,36.42857143,230,64,0,0,166,0,1031,961,,,
#Road Times (minutes),"No value if there is no road between the cities. These times have been estimated with the assistance of Google Maps. Galu, Goami and Lupoto are guesses, since they are only reachable by foot",,,,,,,,,,,,,,
,Fungurume 1,Fungurume 2,Guba,Kakanda,Mulungwishi,Kambove,Chinkolobwe,Likasi 1,Likasi 2,Likasi 3,Kapolowe,Mwandingusha,Galu,Goami,Lupoto
Fungurume 1,,5,14,35,,,,,,,,,,,
Fungurume 2,5,,14,36,,,,,,,,,,,
Guba,14,14,,31,22,,,,,,,,,,
Kakanda,35,36,31,,29,43,,,,,,,,,
Mulungwishi,,,22,29,,,,25,,,,,,,
Kambove,,,,43,,,50,25,,,,,,,
Chinkolobwe,,,,,,50,,35,,,,,,,
Likasi 1,,,,,25,25,35,,6,11,49,95,201,399,257
Likasi 2,,,,,,,,6,,5,45,89,195,395,255
Likasi 3,,,,,,,,11,5,,40,84,190,390,250
Kapolowe,,,,,,,,49,45,40,,76,,,230
Mwandingusha,,,,,,,,95,89,84,76,,,,214
Galu,,,,,,,,201,195,190,,,,200,
Goami,,,,,,,,399,395,390,,,200,,450
Lupoto,,,,,,,,257,255,250,175,214,,450,
#Probability Directly Unreachable,,,"If a cell is empty, there is no direct road between the towns I and J",,,,,,,,,,,,
,Fungurume 1,Fungurume 2,Guba,Kakanda,Mulungwishi,Kambove,Chinkolobwe,Likasi 1,Likasi 2,Likasi 3,Kapolowe,Mwandingusha,Galu,Goami,Lupoto
Fungurume 1,0,0,0.04,0.1,,,,,,,,,,,
Fungurume 2,0,0,0.04,0.1,,,,,,,,,,,
Guba,0.04,0.04,0,0.08,0.05,,,,,,,,,,
Kakanda,0.1,0.1,0.08,0,0.08,0.06,,,,,,,,,
Mulungwishi,,,0.05,0.08,0,,,0.06,,,,,,,
Kambove,,,,0.06,,0,0.3,0.05,,,,,,,
Chinkolobwe,,,,,,0.3,0,0.25,,,,,,,
Likasi 1,,,,,0.06,0.05,0.25,0,0,0,0.15,0.1,0.6,0.8,0.7
Likasi 2,,,,,,,,0,0,0,0.15,0.1,0.6,0.8,0.7
Likasi 3,,,,,,,,0,0,0,0.15,0.1,0.6,0.8,0.7
Kapolowe,,,,,,,,0.15,0.15,0.15,0,0.3,,,0.8
Mwandingusha,,,,,,,,0.1,0.1,0.1,0.3,0,,,0.85
Galu,,,,,,,,0.6,0.6,0.6,,,0,0.6,
Goami,,,,,,,,0.8,0.8,0.8,,,0.6,0,0.7
Lupoto,,,,,,,,0.7,0.7,0.7,0.8,0.85,,0.7,0
